timestamp_utc,run_id,stage,provider,model,units,unit_type,cost_usd,notes
2026-09-07T06:12:39Z,2026-09-07-AM-resample-20260907T061229Z,stage5_visual_generation,pollinations,flux,1,image_generation,0.000000,"still - free, no API key"
2026-09-07T06:12:39Z,2026-09-07-AM-resample-20260907T061229Z,stage5_visual_generation,pollinations,pollinations-flux,4,assets,0.000000,stills summary - see per-asset rows above
2026-09-07T06:12:45Z,2026-09-07-AM-resample-20260907T061229Z,stage3_voiceover,edge-tts,en-IN-NeerjaNeural,456,characters,0.000000,free/local TTS
2026-09-07T06:55:26Z,2099-02-01-AM-20260907T065516Z,stage5_visual_generation,pollinations,flux,1,image_generation,0.000000,"still - free, no API key"
2026-09-07T06:56:11Z,2099-02-01-AM-20260907T065516Z,stage5_visual_generation,pollinations,flux,1,image_generation,0.000000,"still - free, no API key"
2026-09-07T06:56:56Z,2099-02-01-AM-20260907T065516Z,stage5_visual_generation,pollinations,flux,1,image_generation,0.000000,"still - free, no API key"
2026-09-07T06:57:41Z,2099-02-01-AM-20260907T065516Z,stage5_visual_generation,pollinations,flux,1,image_generation,0.000000,"still - free, no API key"
2026-09-07T06:57:41Z,2099-02-01-AM-20260907T065516Z,stage5_visual_generation,pollinations,pollinations-flux,4,assets,0.000000,stills summary - see per-asset rows above
2026-09-07T06:57:41Z,2099-02-01-AM-20260907T065516Z,run_stage_bc,manual-flow,veo-3.1-lite,30,flow_credits_assumed,0.000000,"3 hero clips manually generated in Flow, consumed from clip-pool (2099-02-01-AM-1.mp4, 2099-02-01-AM-2.mp4, 2099-02-01-AM-3.mp4)"
2026-09-07T06:57:43Z,2099-02-01-AM-20260907T065516Z,stage3_voiceover,edge-tts,en-IN-NeerjaNeural,72,characters,0.000000,free/local TTS
2026-09-07T09:01:43Z,20260907T090118Z,stage1_script_generation,gemini-api,gemini-3.6-flash,1,generation,0.000000,free-tier Gemini API quota
2026-09-07T09:02:13Z,20260907T090118Z,stage2_review_gate,gemini-api,gemini-3.6-flash,1,review_call,0.000000,rejected/fail-closed
2026-09-07T09:03:54Z,20260907T090213Z,stage1_script_generation,gemini-api,gemini-3.6-flash,1,generation,0.000000,free-tier Gemini API quota
2026-09-07T09:04:21Z,20260907T090213Z,stage2_review_gate,gemini-api,gemini-3.6-flash,1,review_call,0.000000,rejected/fail-closed
2026-09-07T09:14:24Z,20260907T091326Z,stage1_script_generation,gemini-api,gemini-3.6-flash,1,generation,0.000000,free-tier Gemini API quota
2026-09-07T09:15:03Z,20260907T091326Z,stage2_review_gate,gemini-api,gemini-3.6-flash,1,review_call,0.000000,rejected/fail-closed
2026-09-07T09:15:49Z,20260907T091503Z,stage1_script_generation,gemini-api,gemini-3.6-flash,1,generation,0.000000,free-tier Gemini API quota
2026-09-07T09:16:10Z,20260907T091503Z,stage2_review_gate,gemini-api,gemini-3.6-flash,1,review_call,0.000000,approved
2026-09-07T09:19:33Z,20260907T091933Z,stage1_script_generation,mock,mock,1,generation,0.000000,mock mode - no LLM call made
2026-09-07T09:19:37Z,20260907T091933Z,stage2_review_gate,gemini-api,gemini-3.6-flash,1,review_call,0.000000,rejected/fail-closed
2026-09-07T09:19:37Z,20260907T091937Z,stage1_script_generation,mock,mock,1,generation,0.000000,mock mode - no LLM call made
